Location,Sequence name
Africa,EPI_ISL_17414667|A/chicken/Nigeria/743A_22VIR3286-80/2021|2021-12-28
Africa,EPI_ISL_17414668|A/guinea_fowl/Nigeria/VRD-21-169_21VIR7423-21/2021|2021-03-21
Africa,EPI_ISL_17415170|A/avian/Nigeria/271PT_22VIR3286-71/2021|2021-01-01
Africa,EPI_ISL_17529369|A/duck/Egypt/BA20360C/2022|2022-03-30
Africa,EPI_ISL_17529370|A/duck/Egypt/BA20360OP/2022|2022-03-30
Africa,EPI_ISL_17529372|A/duck/Egypt/RA19853OP/2021|2021-12-15
Africa,EPI_ISL_17634330|A/pelican/Mauritania/11/2022|2022-02-07
Africa,EPI_ISL_17638491|A/chicken/Niger/285-22_23VIR3551-2/2022|2022-12-14
Africa,EPI_ISL_17638492|A/chicken/Niger/288-22_23VIR3551-5/2022|2022-12-18
Africa,EPI_ISL_17638493|A/chicken/Niger/12-23_23VIR3551-8/2023|2023-01-12
Africa,EPI_ISL_17638495|A/duck/Niger/19-23_23VIR3551-17/2023|2023-01-12
Africa,EPI_ISL_17638496|A/chicken/Niger/22-23_23VIR3551-19/2023|2023-01-17
Africa,EPI_ISL_17638498|A/layer/Niger/40-23_23VIR3551-22/2023|2023-01-23
Africa,EPI_ISL_17638499|A/goose/Niger/41-23_23VIR3551-23/2023|2023-01-28
Africa,EPI_ISL_17638500|A/chicken/Niger/43-23_23VIR3551-25/2023|2023-01-28
Africa,EPI_ISL_17638501|A/chicken/Niger/51-23_23VIR3551-29/2023|2023-02-02
Africa,EPI_ISL_17638502|A/chicken/Niger/51-23_23VIR3551-32/2023|2023-02-02
Africa,EPI_ISL_17638503|A/goose/Niger/59-23_23VIR3551-35/2023|2023-02-06
Africa,EPI_ISL_17638504|A/chicken/Niger/67-23_23VIR3551-36/2023|2023-02-10
Africa,EPI_ISL_17638505|A/guinea_fowl/Niger/71-23_23VIR3551-38/2023|2023-02-14
Africa,EPI_ISL_17734199|A/chicken/Egypt/F15366B/2018|2018-03-20
Africa,EPI_ISL_17734205|A/chicken/Egypt/A19673/2021|2021-02-10
Africa,EPI_ISL_17734207|A/duck/Egypt/A16368/2018|2018-11-24
Africa,EPI_ISL_17734209|A/duck/Egypt/A16372/2018|2018-11-24
Africa,EPI_ISL_17734211|A/duck/Egypt/A19643/2021|2021-01-26
Africa,EPI_ISL_17734216|A/goose/Egypt/BA71C/2018|2018-05-01
Africa,EPI_ISL_17767319|A/Duck/Egypt/A19643/2021|2021-01-26
Africa,EPI_ISL_17767334|A/chicken/Egypt/F15366B/2018|2018-03-20
CA,EPI_ISL_418169|A/Whooper_swan/Xinjiang/1/2020|2020-01-03
CA,EPI_ISL_418170|A/Whooper_swan/Xinjiang/2/2020|2020-01-03
CA,EPI_ISL_418171|A/Whooper_swan/Xinjiang/3/2020|2020-01-04
CA,EPI_ISL_418172|A/Mute_swan/Xinjiang/4/2020|2020-01-08
CA,EPI_ISL_418175|A/Whooper_swan/Xinjiang/7/2020|2020-01-12
CA,EPI_ISL_418176|A/Whooper_swan/Xinjiang/8/2020|2020-01-16
CA,EPI_ISL_418177|A/Whooper_swan/Xinjiang/9/2020|2020-01-16
CA,EPI_ISL_418178|A/Whooper_swan/Xinjiang/10/2020|2020-01-16
CA,EPI_ISL_4071515|A/duck/Bangladesh/43127/2020|2020-01-27
CA,EPI_ISL_4071595|A/duck/Bangladesh/43050/2020|2020-01-27
CA,EPI_ISL_4071616|A/Ferruginous_duck/Bangladesh/42380/2020|2020-01-19
CA,EPI_ISL_4071641|A/duck/Bangladesh/43129/2020|2020-01-27
CA,EPI_ISL_4071724|A/Common_pochard/Bangladesh/42386/2020|2020-01-20
CA,EPI_ISL_4071728|A/duck/Bangladesh/43119/2020|2020-01-27
CA,EPI_ISL_4073121|A/duck/Bangladesh/44433/2020|2020-02-22
CA,EPI_ISL_4073122|A/duck/Bangladesh/44442/2020|2020-02-22
CA,EPI_ISL_4073123|A/duck/Bangladesh/44448/2020|2020-02-22
